Date,Not indexed,Indexed,Impressions
2026-06-13,,,315
2026-06-14,,,388
2026-06-15,,,280
2026-06-16,,,323
2026-06-17,,,393
2026-06-18,,,297
2026-06-19,,,228
2026-06-20,,,330
2026-06-21,,,539
2026-06-22,,,678
2026-06-23,,,674
2026-06-24,,,534
2026-06-25,,,541
2026-06-26,,,628
2026-06-27,,,2215
2026-06-28,,,1674
2026-06-29,78093,41990,1453
2026-06-30,78248,42302,1224
2026-07-01,78248,42302,1298
2026-07-02,78248,42302,1126
2026-07-03,78248,42302,771
2026-07-04,78248,42302,559
2026-07-05,78248,42302,620
2026-07-06,78248,42302,531
2026-07-07,78248,42302,611
2026-07-08,78248,42302,636
2026-07-09,78248,42302,468
2026-07-10,77239,44208,415
2026-07-11,77239,44208,386
2026-07-12,77239,44208,568
2026-07-13,77239,44208,871
2026-07-14,77239,44208,783
2026-07-15,77239,44208,653
2026-07-16,77239,44208,451
2026-07-17,77239,44208,386
2026-07-18,77239,44208,417
2026-07-19,77239,44208,942
2026-07-20,77239,44208,1157
2026-07-21,77239,44208,881
2026-07-22,77239,44208,556
2026-07-23,77239,44208,406
2026-07-24,78404,44619,579
2026-07-25,78404,44619,813
2026-07-26,78404,44619,1695
2026-07-27,78404,44619,1525
2026-07-28,78404,44619,954
2026-07-29,78404,44619,960
2026-07-30,78404,44619,700
2026-07-31,78404,44619,529
2026-08-01,78404,44619,564
2026-08-02,78404,44619,1068
2026-08-03,78404,44619,1006
2026-08-04,78404,44619,924
2026-08-05,78677,44764,1132
2026-08-06,78677,44764,765
2026-08-07,79064,45356,511
2026-08-08,79064,45356,514
2026-08-09,79064,45356,2203
2026-08-10,79764,45319,2737
2026-08-11,79764,45319,2468
2026-08-12,79764,45319,4069
2026-08-13,79764,45319,2147
2026-08-14,80038,46265,1003
2026-08-15,80038,46265,920
2026-08-16,80038,46265,4822
2026-08-17,80588,46707,5130
2026-08-18,80588,46707,3384
2026-08-19,80588,46707,4055
2026-08-20,80588,46707,1791
2026-08-21,81299,47095,956
2026-08-22,81299,47095,787
2026-08-23,81299,47095,3567
2026-08-24,81299,47095,2659
2026-08-25,81299,47095,2503
2026-08-26,81299,47095,1680
2026-08-27,81299,47095,1088
2026-08-28,82453,47554,644
2026-08-29,82453,47554,765
2026-08-30,82453,47554,4416
2026-08-31,82453,47554,6039
2026-09-01,82453,47554,5795
2026-09-02,82453,47554,4968
2026-09-03,82453,47554,2846
