Country,Clicks,Impressions,CTR,Position
United States,5010,66915,7.49%,5.57
India,64,1683,3.8%,15.91
Italy,15,128,11.72%,6.05
Canada,11,114,9.65%,7.61
Iran,9,15,60%,3
Indonesia,8,154,5.19%,47.36
Malaysia,7,113,6.19%,39.34
Netherlands,7,41,17.07%,8.63
Saudi Arabia,6,180,3.33%,14.77
Singapore,6,37,16.22%,4.68
Egypt,5,72,6.94%,4.26
France,5,61,8.2%,16.57
United Kingdom,4,72,5.56%,20.99
Germany,4,54,7.41%,16.52
Colombia,4,25,16%,3.96
Panama,4,5,80%,3
United Arab Emirates,3,99,3.03%,10.85
Turkey,3,98,3.06%,62.82
Australia,3,56,5.36%,24.32
Japan,3,23,13.04%,4.65
Sri Lanka,3,19,15.79%,6.53
Hungary,3,19,15.79%,8.21
Iraq,3,19,15.79%,12.16
Austria,3,15,20%,3.73
Armenia,3,6,50%,2.5
Qatar,2,176,1.14%,5.62
New Zealand,2,37,5.41%,7.41
Poland,2,29,6.9%,10.66
Greece,2,27,7.41%,4.85
Croatia,2,24,8.33%,4.33
Tunisia,2,21,9.52%,4.81
Portugal,2,15,13.33%,4.27
Israel,2,10,20%,4.3
China,2,8,25%,4.5
Vietnam,1,129,0.78%,68.62
Mexico,1,89,1.12%,62.3
Thailand,1,67,1.49%,56.34
Romania,1,20,5%,18.55
Nigeria,1,17,5.88%,10.94
Spain,1,16,6.25%,54.69
Brazil,1,14,7.14%,6.36
Lebanon,1,13,7.69%,7
Belgium,1,13,7.69%,19.92
Bahamas,1,8,12.5%,2.88
Serbia,1,8,12.5%,5.88
Kuwait,1,8,12.5%,6.75
Slovenia,1,7,14.29%,3.57
Puerto Rico,1,7,14.29%,6.71
Cyprus,1,7,14.29%,9.57
Azerbaijan,1,6,16.67%,11.17
Bahrain,1,6,16.67%,18.33
Venezuela,1,5,20%,1.8
Luxembourg,1,5,20%,4
Yemen,1,4,25%,5
Tanzania,1,3,33.33%,7.67
Mongolia,1,2,50%,2
Macedonia,1,2,50%,3
South Korea,1,2,50%,5.5
Laos,1,2,50%,6.5
St. Lucia,1,1,100%,2
Cape Verde,1,1,100%,4
Mozambique,1,1,100%,5
Philippines,0,226,0%,63.62
Bangladesh,0,92,0%,56.97
Jordan,0,56,0%,66.2
Morocco,0,50,0%,60.42
Sweden,0,24,0%,17.33
Ukraine,0,22,0%,59.91
Algeria,0,21,0%,58.43
Ethiopia,0,18,0%,14.44
Oman,0,17,0%,6.29
Russia,0,17,0%,63.41
Pakistan,0,16,0%,23.38
Ireland,0,15,0%,4.07
South Africa,0,11,0%,8.91
Malta,0,9,0%,6.78
Switzerland,0,9,0%,11.56
Finland,0,9,0%,13.67
Paraguay,0,8,0%,5.62
Bulgaria,0,8,0%,6.25
Uganda,0,8,0%,7.25
Moldova,0,8,0%,10.25
Kenya,0,7,0%,4.43
Czechia,0,7,0%,4.57
Guam,0,7,0%,8
Denmark,0,6,0%,5.5
Cambodia,0,6,0%,5.5
Kazakhstan,0,6,0%,6
Argentina,0,6,0%,35.5
Chile,0,5,0%,4.6
Hong Kong,0,4,0%,2
El Salvador,0,4,0%,8
Trinidad & Tobago,0,4,0%,8.25
Maldives,0,3,0%,3.67
Dominican Republic,0,3,0%,4.67
Senegal,0,3,0%,4.67
Guatemala,0,3,0%,5
Libya,0,3,0%,5
Albania,0,3,0%,5.67
Bhutan,0,3,0%,5.67
Syria,0,3,0%,6.67
Ghana,0,3,0%,7.33
Nicaragua,0,3,0%,7.33
Mauritius,0,3,0%,23
Afghanistan,0,2,0%,2
Costa Rica,0,2,0%,2
Uzbekistan,0,2,0%,2
Grenada,0,2,0%,2.5
Kyrgyzstan,0,2,0%,3
Georgia,0,2,0%,3.5
Jamaica,0,2,0%,4
Zambia,0,2,0%,4
Honduras,0,2,0%,4.5
Bosnia & Herzegovina,0,2,0%,5.5
Congo - Kinshasa,0,2,0%,6
Myanmar (Burma),0,2,0%,6
Brunei,0,2,0%,6.5
Norway,0,2,0%,7
Namibia,0,2,0%,8.5
Peru,0,2,0%,8.5
Uruguay,0,2,0%,10.5
Botswana,0,2,0%,62
Chad,0,1,0%,1
Cuba,0,1,0%,3
Liberia,0,1,0%,3
Rwanda,0,1,0%,3
Guyana,0,1,0%,4
Latvia,0,1,0%,4
Papua New Guinea,0,1,0%,4
Somalia,0,1,0%,4
Taiwan,0,1,0%,4
U.S. Virgin Islands,0,1,0%,4
Bolivia,0,1,0%,5
Suriname,0,1,0%,5
Lesotho,0,1,0%,6
Mauritania,0,1,0%,6
Nepal,0,1,0%,6
Sudan,0,1,0%,6
Ecuador,0,1,0%,7
Mali,0,1,0%,8
Lithuania,0,1,0%,9
